Etablissement;Année;Ville;Taux Brut de Réussite série L;Taux Brut de Réussite série ES;Taux Brut de Réussite série S;Académie
COURS BASTIDE;2013;MARSEILLE 06;100;100;100;AIX-MARSEILLE
LYCEE D ALTITUDE (GENERAL ET TECHNO.);2013;BRIANCON;100;98;98;AIX-MARSEILLE
LYCEE ST JOSEPH;2013;AVIGNON;100;95;91;AIX-MARSEILLE
LYCEE FREDERIC ET IRENE JOLIOT CURIE;2013;HIRSON;82;94;97;AMIENS
LYCEE CONDORCET;2013;ST QUENTIN;;96;88;AMIENS
LYCEE HUGUES CAPET;2013;SENLIS;86;89;96;AMIENS
LYCEE LA PROVIDENCE;2013;AMIENS;100;100;95;AMIENS
LYCEE BAUDELAIRE;2012;ROUBAIX;80;83;90;LILLE
LYCEE LOUIS PASTEUR;2012;SOMAIN;82;87;85;LILLE
LYCEE SEVIGNE;2012;TOURCOING CEDEX;;;;LILLE
LYCEE RAYMOND QUENEAU;2012;VILLENEUVE D ASCQ;86;87;88;LILLE
LYCEE CONDORCET;2012;LENS CEDEX;91;86;87;LILLE
LYCEE JULIEN WITTMER (GENERAL ET TECHNO.);2012;CHAROLLES;88;100;96;DIJON
LYCEE LECONTE DE LISLE;2012;STE CLOTILDE CEDEX;96;100;98;LA REUNION
LYCEE DE TROIS BASSINS (GENERAL ET TECHNO.);2012;LES TROIS BASSINS;77;96;79;LA REUNION
LYCEE MELKIOR GARRE (GENERAL ET TECHNO.);2012;CAYENNE CEDEX;78;69;76;GUYANE
LYCEE MARIE REYNOARD;2012;VILLARD BONNOT;92;98;96;GRENOBLE
LYCEE JEAN JAURES;2013;REIMS;95;97;98;REIMS
LYCEE FULGENCE BIENVENUE (GENERAL ET TECHNO.);2013;LOUDEAC;100;100;90;RENNES
LYCEE DE KERNEUZEC;2013;QUIMPERLE;91;95;99;RENNES
LYCEE ST JOSEPH;2013;BRUZ;100;99;96;RENNES
LYCEE JEAN PAUL II (GENERAL ET TECHNO.);2013;ST GREGOIRE;100;98;100;RENNES
LYCEE LA MENNAIS;2013;PLOERMEL;100;100;98;RENNES
LYCEE JEAN PREVOST;2013;MONTIVILLIERS;84;93;97;ROUEN
LYCEE BLAISE PASCAL (GENERAL ET TECHNO.);2013;ROUEN;;;90;ROUEN
LYCEE PROVIDENCE MISERICORDE (GENERAL ET TECHNO.);2013;ROUEN;;;;ROUEN
LYCEE MARCEL SEMBAT;2013;SOTTEVILLE LES ROUEN;;67;94;ROUEN
LYCEE MARC BLOCH;2013;BISCHHEIM;93;92;91;STRASBOURG
INSTITUTION NOTRE DAME;2013;STRASBOURG;100;98;98;STRASBOURG
LYCEE RENE CASSIN (GENERAL ET TECHNO.);2013;STRASBOURG;;;;STRASBOURG
LYCEE LE GARROS (GENERAL ET TECHNO.);2013;AUCH;96;;96;TOULOUSE
LYCEE LE CAOUSOU;2013;TOULOUSE;92;100;100;TOULOUSE
LYCEE PIERRE MENDES FRANCE;2013;VIC EN BIGORRE;100;100;91;TOULOUSE
LYCEE LEO FERRE (GENERAL ET TECHNO.);2013;GOURDON;88;94;94;TOULOUSE
LYCEE GASPARD MONGE (GENERAL ET TECHNO.);2013;SAVIGNY SUR ORGE;;89;73;VERSAILLES
LYCEE RAMBAM;2013;BOULOGNE BILLANCOURT;;100;100;VERSAILLES
LYCEE LUCIE AUBRAC;2013;COURBEVOIE;100;94;98;VERSAILLES
LYCEE LA FOLIE SAINT JAMES;2013;NEUILLY SUR SEINE;83;87;92;VERSAILLES
LYCEE CHARLES BAUDELAIRE (GENERAL ET TECHNO.);2013;FOSSES;83;79;65;VERSAILLES
LYCEE SAINT MARTIN DE FRANCE;2013;PONTOISE;100;95;93;VERSAILLES
LYCEE JEAN PERRIN (GENERAL ET TECHNO.);2013;ST OUEN L AUMONE;;;92;VERSAILLES
LYCEE JULES FERRY;2013;CONFLANS STE HONORINE;95;97;93;VERSAILLES
LYCEE ST EXUPERY;2013;MANTES LA JOLIE;92;98;87;VERSAILLES
LYCEE FELIX ESCLANGON;2014;MANOSQUE;94;89;89;AIX-MARSEILLE
LYCEE MELIZAN;2014;MARSEILLE 11;100;84;99;AIX-MARSEILLE
LYCEE LA FOURRAGERE (GENERAL ET TECHNO.);2014;MARSEILLE 12;86;83;82;AIX-MARSEILLE
LYCEE SAINT CHARLES;2014;CHAUNY;;100;91;AMIENS
LYCEE GERARD DE NERVAL;2014;SOISSONS;86;92;99;AMIENS
LYCEE ST VINCENT DE PAUL;2014;BEAUVAIS;;;;AMIENS
LYCEE NOTRE DAME DE LA TILLOYE;2014;COMPIEGNE;100;100;100;AMIENS
LYCEE EDOUARD GAND;2014;AMIENS;;;;AMIENS
LYCEE ROBERT DE LUZARCHES;2014;AMIENS;93;95;86;AMIENS
LYCEE SAINT REMI;2014;AMIENS;;;;AMIENS
LYCEE SAINT RIQUIER;2014;AMIENS;100;97;100;AMIENS
LYCEE LE GRAND CHENOIS;2014;MONTBELIARD;96;96;87;BESANCON
LYCEE VIETTE (GENERAL ET TECHNO.);2014;MONTBELIARD;;;95;BESANCON
LYCEE GEORGES COLOMB (GENERAL ET TECHNO.);2014;LURE;100;95;97;BESANCON
LYCEE VICTOR CONSIDERANT;2014;SALINS LES BAINS;95;100;97;BESANCON
LYCEE SAINTE URSULE;2014;CAEN;;;;CAEN
LYCEE SAINT VINCENT;2015;SENLIS;100;100;100;AMIENS
LYCEE LA PROVIDENCE;2015;AMIENS;100;100;98;AMIENS
LYCEE LOUIS PERGAUD;2015;BESANCON;98;89;92;BESANCON
LYCEE GEORGES CUVIER;2015;MONTBELIARD;90;90;94;BESANCON
LYCEE GUSTAVE COURBET;2015;BELFORT;88;87;92;BESANCON
LYCEE LEONARD DE VINCI;2015;BLANQUEFORT;;;;BORDEAUX
LYCEE GUSTAVE EIFFEL (GENERAL ET TECHNO.);2015;BORDEAUX;;;97;BORDEAUX
LYCEE ELIE FAURE;2015;LORMONT;70;75;80;BORDEAUX
LYCEE BERNARD PALISSY;2015;AGEN;97;97;91;BORDEAUX
LYCEE LOUIS DE FOIX;2015;BAYONNE;;96;94;BORDEAUX
LYCEE JEANNE D ARC;2015;ORTHEZ;;74;93;BORDEAUX
LYCEE JEAN ROSTAND;2015;CAEN;94;94;93;CAEN
INSTITUT SAINT-LO;2015;AGNEAUX;100;100;96;CAEN
LYCEE ALBERT LONDRES;2015;CUSSET;96;90;90;CLERMONT-FERRAND
LYCEE SAINT BENOIT;2015;MOULINS;100;92;100;CLERMONT-FERRAND
LYCEE JEANNE D'ARC;2015;CLERMONT FERRAND;90;95;92;CLERMONT-FERRAND
LYCEE EMILY BRONTE;2015;LOGNES;100;100;92;CRETEIL
LYCEE ALFRED NOBEL (GENERAL ET TECHNO.);2015;CLICHY SOUS BOIS;81;90;75;CRETEIL
LYCEE HENRI SELLIER (GENERAL ET TECHNO.);2015;LIVRY GARGAN;;;;CRETEIL
LYCEE JEAN-BAPTISTE DE LA SALLE;2015;ST DENIS;;100;97;CRETEIL
LYCEE ANNA JUDIC (GENERAL ET TECHNO.);2015;SEMUR EN AUXOIS;85;85;93;DIJON
LYCEE LES CATALINS (GENERAL ET TECHNO.);2015;MONTELIMAR;;;89;GRENOBLE
EXTERNAT NOTRE DAME;2015;GRENOBLE;100;97;100;GRENOBLE
LYCEE EDOUARD HERRIOT (GENERAL ET TECHNO.);2015;VOIRON;98;96;92;GRENOBLE
LYCEE JEANNE D'ARC;2015;ALBERTVILLE;100;96;94;GRENOBLE
LYCEE STELLA (GENERAL ET TECHNO.);2015;ST LEU;87;100;95;LA REUNION
LYCEE EC SUP ARTS APPLIQUES TEXTILE;2015;ROUBAIX;;;;LILLE
LYCEE HENRI WALLON;2015;VALENCIENNES;88;82;93;LILLE
LYCEE RAYMOND QUENEAU;2015;VILLENEUVE D ASCQ;89;87;94;LILLE
LYCEE VAUBAN (GENERAL ET TECHNO.);2015;AIRE SUR LA LYS;100;97;91;LILLE
LYCEE GUY MOLLET (GENERAL ET TECHNO.);2015;ARRAS;94;82;88;LILLE
LYCEE SOPHIE BERTHELOT;2015;CALAIS;98;100;95;LILLE
LYCEE ST JEAN;2015;LIMOGES;100;95;98;LIMOGES
LYCEE DE LA PLAINE DE L'AIN;2015;AMBERIEU EN BUGEY;83;91;96;LYON
LYCEE ANTOINE DE SAINT-EXUPERY;2015;LYON 04;95;93;93;LYON
LYCEE DU PARC;2015;LYON 06;100;97;98;LYON
LYCEE CHEVREUL LESTONNAC;2015;LYON 07;;;;LYON
LYCEE SAINT THOMAS D'AQUIN VERITAS;2015;OULLINS;100;100;100;LYON
LYCEE MARCEL SEMBAT;2015;VENISSIEUX;;77;86;LYON
LYCEE AMEP (GENERAL ET TECHNO.);2015;FORT DE FRANCE;100;100;86;MARTINIQUE
LYCEE DE SADA (GENERAL ET TECHNO.);2015;SADA;58;70;81;MAYOTTE
LYCEE DOCTEUR LACROIX;2015;NARBONNE;95;95;94;MONTPELLIER
LYCEE DE LA SALLE;2015;ALES;;;100;MONTPELLIER
LYCEE HENRI IV;2015;BEZIERS;94;95;92;MONTPELLIER
LYCEE CHARLES RENOUVIER (GENERAL ET TECHNO.);2015;PRADES;92;88;78;MONTPELLIER
LYCEE ALCIDE D'ORBIGNY;2015;BOUAYE;100;100;100;NANTES
LYCEE CARCOUET;2015;NANTES;96;84;80;NANTES
LYCEE JULES VERNE;2015;NANTES;97;97;97;NANTES
LYCEE JEAN MOULIN (GENERAL ET TECHNO.);2015;ANGERS;;;94;NANTES
LYCEE JOACHIM DU BELLAY;2015;ANGERS;96;100;89;NANTES
LYCEE ND D'ORVEAU;2015;NYOISEAU;100;100;100;NANTES
LYCEE ST LOUIS;2015;SAUMUR;100;96;99;NANTES
LYCEE RACAN;2015;CHATEAU DU LOIR;100;98;98;NANTES
LYCEE ND DE LA TOURTELIERE;2015;POUZAUGES;93;100;97;NANTES
LYCEE DON BOSCO;2015;NICE;;93;94;NICE
LYCEE LES EUCALYPTUS;2015;NICE;;;88;NICE
LYCEE EMILE ZOLA;2015;CHATEAUDUN;97;96;96;ORLEANS-TOURS
LYCEE LAMARTINE;2015;PARIS 09;91;90;82;PARIS
LYCEE FRANCOIS BAZIN (GENERAL ET TECHNO.);2015;CHARLEVILLE MEZIERES;;64;78;REIMS
LYCEE BAZEILLES (GENERAL ET TECHNO.);2015;SEDAN;;;;REIMS
LYCEE STE JEANNE D'ARC;2015;VITRE;100;100;100;RENNES
LYCEE BROCELIANDE (GENERAL ET TECHNO.);2015;GUER;81;93;93;RENNES
LYCEE STE ANNE-ST LOUIS (GENERAL ET TECHNO.);2015;STE ANNE D AURAY;92;98;99;RENNES
LYCEE PIERRE DE COUBERTIN (GENERAL ET TECHNO.);2015;BOLBEC;;;100;ROUEN
LYCEE PROVIDENCE SAINTE THERESE (GENERAL ET TECHNO.);2015;ROUEN;;;;ROUEN
LYCEE SCHURE;2015;BARR;89;100;96;STRASBOURG
LYCEE FREDERIC KIRSCHLEGER;2015;MUNSTER;86;85;96;STRASBOURG
LYCEE IMMACULEE CONCEPTION;2015;ESPALION;100;67;87;TOULOUSE
LYCEE HENRI MATISSE;2015;CUGNAUX;98;95;95;TOULOUSE
LYCEE L' ANNONCIATION;2015;SEILH;89;88;100;TOULOUSE
LYCEE THEOPHILE ROUSSEL (GENERAL ET TECHNO.);2013;ST CHELY D APCHER;100;;100;MONTPELLIER
LYCEE L'ASSOMPTION;2013;BRIEY;;100;87;NANCY-METZ
LYCEE JEANNE D'ARC;2013;NANCY;97;92;93;NANCY-METZ
LYCEE LOUIS VINCENT;2013;METZ;;97;96;NANCY-METZ
LYCEE JULIE DAUBIE (GENERAL ET TECHNO.);2013;ROMBAS;93;82;92;NANCY-METZ
LYCEE JEAN-BAPTISTE COLBERT;2013;THIONVILLE;;85;96;NANCY-METZ
EXTERNAT DES ENFANTS NANTAIS;2013;NANTES;100;99;100;NANTES
LYCEE ARISTIDE BRIAND;2013;ST NAZAIRE;89;91;96;NANTES
LYCEE EMMANUEL MOUNIER;2013;ANGERS;93;100;100;NANTES
LYCEE HENRI BERGSON;2013;ANGERS;97;91;97;NANTES
LYCEE LES ARDILLIERS;2013;SAUMUR;;;;NANTES
LYCEE SADI CARNOT - JEAN BERTIN (GENERAL ET TECHNO.);2013;SAUMUR;;;94;NANTES
LYCEE REAUMUR;2013;LAVAL;;;100;NANTES
LYCEE ST MICHEL DES PERRAIS;2013;PARIGNE LE POLIN;100;100;81;NANTES
LYCEE STE ANNE (GENERAL ET TECHNO.);2013;SABLE SUR SARTHE;100;100;96;NANTES
LYCEE GEORGES CLEMENCEAU;2013;CHANTONNAY;88;100;96;NANTES
LYCEE L'ESPERANCE;2013;STE CECILE;;90;100;NANTES
LYCEE LES EUCALYPTUS;2013;NICE;;;78;NICE
LYCEE SASSERNO;2013;NICE;100;100;100;NICE
LYCEE ROTROU;2013;DREUX;86;87;83;ORLEANS-TOURS
LYCEE ROLLINAT;2013;ARGENTON SUR CREUSE;94;93;98;ORLEANS-TOURS
LYCEE GRAND ST GREGOIRE;2013;TOURS;100;98;96;ORLEANS-TOURS
LYCEE LOUISE DE MARILLAC;2013;PARIS 05;90;100;98;PARIS
LYCEE EDGAR POE;2013;PARIS 10;100;100;100;PARIS
LYCEE VOLTAIRE;2013;PARIS 11;91;81;74;PARIS
LYCEE ISAAC DE L'ETOILE (FEUILLANTS);2013;POITIERS;96;100;88;POITIERS
LYCEE VAUGELAS;2013;CHAMBERY;95;95;96;GRENOBLE
LYCEE BEL AIR;2013;BAIE MAHAULT;;;;GUADELOUPE
LYCEE SAINT JUDE;2013;ARMENTIERES;96;100;99;LILLE
LYCEE EDMOND LABBE;2013;DOUAI;;;88;LILLE
LYCEE DE L'EUROPE;2013;DUNKERQUE;95;87;92;LILLE
LYCEE E.P.I.D.;2013;DUNKERQUE;;;96;LILLE
LYCEE MAXENCE VAN DER MEERSCH;2013;ROUBAIX;72;60;65;LILLE
LYCEE SEVIGNE;2013;TOURCOING;;;;LILLE
LYCEE LA SAGESSE;2013;VALENCIENNES;;;;LILLE
LYCEE GAMBETTA CARNOT;2013;ARRAS;90;88;90;LILLE
LYCEE LEO LAGRANGE;2013;BULLY LES MINES;;92;70;LILLE
LYCEE AUGUSTE BEHAL;2013;LENS;68;65;74;LILLE
LYCEE GIRAUX SANNIER (GENERAL ET TECHNO.);2013;ST MARTIN BOULOGNE;;95;98;LILLE
LYCEE VOLTAIRE;2013;WINGLES;89;81;78;LILLE
LYCEE JEAN GIRAUDOUX;2013;BELLAC;86;96;91;LIMOGES
ENSEMBLE SCOLAIRE LAMARTINE;2013;BELLEY;100;100;93;LYON
LYCEE EDGAR QUINET;2013;BOURG EN BRESSE;96;97;93;LYON
LYCEE JEREMIE DE LA RUE (GENERAL ET TECHNO.);2013;CHARLIEU;95;96;94;LYON
LYCEE NOTRE DAME;2013;CHARLIEU;75;92;90;LYON
LYCEE CARNOT;2013;ROANNE;;;99;LYON
EXTERNAT DE LA TRINITE;2013;LYON 06;88;95;91;LYON
LYCEE O R T;2013;LYON 08;;;;LYON
LYCEE PARC CHABRIERES;2013;OULLINS;94;88;88;LYON
LYCEE SAINT JOSEPH;2013;TASSIN LA DEMI LUNE;100;98;98;LYON
LYCEE JACQUES RUFFIE (GENERAL ET TECHNO.);2013;LIMOUX;100;90;94;MONTPELLIER
LYCEE LAETITIA BONAPARTE;2014;AJACCIO;94;97;99;CORSE
LYCEE SAMUEL BECKETT;2014;LA FERTE SOUS JOUARRE;73;91;91;CRETEIL
LYCEE CLEMENT ADER (GENERAL ET TECHNO.);2014;TOURNAN EN BRIE;;71;83;CRETEIL
LYCEE ALLIANCE;2014;LES PAVILLONS SOUS BOIS;;100;100;CRETEIL
LYCEE JEAN JAURES;2014;MONTREUIL;88;90;73;CRETEIL
LYCEE OZAR HATORAH FILLES;2014;CRETEIL;;100;100;CRETEIL
LYCEE ANNA JUDIC (GENERAL ET TECHNO.);2014;SEMUR EN AUXOIS;95;100;82;DIJON
LYCEE HENRI VINCENOT (GENERAL ET TECHNO.);2014;LOUHANS;100;84;87;DIJON
LYCEE ALGOUD - LAFFEMAS (GENERAL ET TECHNO.);2014;VALENCE;95;87;94;GRENOBLE
LYCEE SAINT VICTOR;2014;VALENCE;100;97;93;GRENOBLE
LYCEE CHARLES BAUDELAIRE;2014;ANNECY;83;98;93;GRENOBLE
LYCEE CHARLES PONCET;2014;CLUSES;98;89;94;GRENOBLE
LYCEE DEMOTZ DE LA SALLE (GENERAL ET TECHNO.);2014;RUMILLY;87;82;90;GRENOBLE
LYCEE SAINT FRANCOIS;2014;VILLE LA GRAND;95;96;98;GRENOBLE
LYCEE LESDIGUIERES (GENERAL ET TECHNO.);2014;GRENOBLE;;;;GRENOBLE
LYCEE GALILEE;2014;VIENNE;;;100;GRENOBLE
LYCEE SAINT EXUPERY;2014;BOURG ST MAURICE;;97;89;GRENOBLE
LYCEE SAINT AMBROISE;2014;CHAMBERY;100;97;100;GRENOBLE
LYCEE FENELON;2014;CAMBRAI;100;94;88;LILLE
LYCEE ERNEST COUTEAUX (GENERAL ET TECHNO.);2014;ST AMAND LES EAUX;93;79;72;LILLE
LYCEE ROBESPIERRE;2014;ARRAS;93;84;95;LILLE
LYCEE SAINT PIERRE;2014;BOURG EN BRESSE;100;98;100;LYON
LYCEE DE LA COTIERE;2014;LA BOISSE;100;92;91;LYON
LYCEE LA SALESIENNE;2014;ST ETIENNE;;;;LYON
LYCEE DU PARC;2014;LYON 06;100;95;99;LYON
LYCEE MARCEL SEMBAT;2014;VENISSIEUX;;72;79;LYON
LYCEE CENTRE SUD;2014;DUCOS;97;100;100;MARTINIQUE
LYCEE YOUNOUSSA BAMANA;2014;MAMOUDZOU;55;69;77;MAYOTTE
LYCEE LA TRINITE;2014;BEZIERS;100;96;94;MONTPELLIER
LYCEE ET SPORTIF PIERRE DE COUBERTIN;2014;FONT ROMEU ODEILLO VIA;91;100;93;MONTPELLIER
LYCEE JEAN LURCAT (GENERAL ET TECHNO.);2014;PERPIGNAN;78;88;78;MONTPELLIER
LYCEE CHARLES RENOUVIER (GENERAL ET TECHNO.);2014;PRADES;87;83;92;MONTPELLIER
LYCEE ARTHUR VAROQUAUX;2014;TOMBLAINE;91;91;88;NANCY-METZ
LYCEE SAINT VINCENT DE PAUL;2014;ALGRANGE;;;;NANCY-METZ
LYCEE JEAN-VICTOR PONCELET;2014;ST AVOLD;91;88;95;NANCY-METZ
LYCEE CLAUDE GELLEE;2014;EPINAL;98;90;97;NANCY-METZ
LYCEE GRAND AIR;2014;LA BAULE;80;91;93;NANTES
LYCEE LA PERVERIE SACRE COEUR;2014;NANTES;100;100;100;NANTES
LYCEE RACAN;2014;CHATEAU DU LOIR;93;90;93;NANTES
LYCEE PERSEIGNE (GENERAL ET TECHNO.);2014;MAMERS;100;83;100;NANTES
LYCEE NOTRE DAME (GENERAL ET TECHNO.);2014;CHALLANS;96;96;98;NANTES
LYCEE ALFRED KASTLER - GUITTON (GENERAL ET TECHNO.);2014;LA ROCHE SUR YON;;83;98;NANTES
LYCEE DUPUY DE LOME;2014;LORIENT;92;94;96;RENNES
LYCEE ANDRE MAUROIS;2014;ELBEUF;94;82;92;ROUEN
LYCEE GALILEE (GENERAL ET TECHNO.);2014;FRANQUEVILLE ST PIERRE;84;89;99;ROUEN
LYCEE SCHUMAN-PERRET;2014;LE HAVRE;88;77;71;ROUEN
LYCEE LE CORBUSIER (GENERAL ET TECHNO.);2014;ILLKIRCH;;;;STRASBOURG
LYCEE DOCTEUR KOEBERLE;2014;SELESTAT;100;92;88;STRASBOURG
LYCEE LAVOISIER (GENERAL ET TECHNO.);2014;MULHOUSE;;78;88;STRASBOURG
LYCEE RIBEAUPIERRE;2014;RIBEAUVILLE;100;100;97;STRASBOURG
LYCEE DU COUSERANS;2014;ST GIRONS;80;70;93;TOULOUSE
LYCEE PAUL MATHOU (GENERAL ET TECHNO.);2014;GOURDAN POLIGNAN;;;96;TOULOUSE
LYCEE SAINTE-MARIE DE NEVERS;2014;TOULOUSE;92;100;96;TOULOUSE
LYCEE PIERRE MENDES FRANCE;2014;VIC EN BIGORRE;94;96;91;TOULOUSE
LYCEE SAINT PIERRE (TECHNO.);2014;BRUNOY;;;;VERSAILLES
LYCEE SAINTE GENEVIEVE;2014;ASNIERES SUR SEINE;100;100;100;VERSAILLES
LYCEE LA SALLE PASSY BUZENVAL;2014;RUEIL MALMAISON;100;98;100;VERSAILLES
LYCEE LEONARD DE VINCI;2014;ST WITZ;92;80;99;VERSAILLES
LYCEE JEAN ROSTAND (GENERAL ET TECHNO.);2014;MANTES LA JOLIE;;67;67;VERSAILLES
LYCEE VAUVENARGUES;2015;AIX EN PROVENCE;97;93;94;AIX-MARSEILLE
LYCEE CHIMIE ET BIOLOGIE LA FORBINE;2015;MARSEILLE 11;;;;AIX-MARSEILLE
LYCEE ST JOSEPH;2015;GAP;;93;100;AIX-MARSEILLE
LYCEE LUCIE AUBRAC;2015;BOLLENE;95;86;88;AIX-MARSEILLE
LYCEE STANISLAS;2014;CANNES;92;100;100;NICE
LYCEE ANTOINE DE SAINT EXUPERY (GENERAL ET TECHNO.);2014;ST RAPHAEL;87;90;92;NICE
LYCEE STE MARIE ST DOMINIQUE;2014;BOURGES;89;94;95;ORLEANS-TOURS
LYCEE MARCEAU;2014;CHARTRES;91;93;96;ORLEANS-TOURS
LYCEE NOTRE DAME;2014;CHARTRES;100;100;97;ORLEANS-TOURS
LYCEE ALFRED DE VIGNY;2014;LOCHES;96;98;98;ORLEANS-TOURS
LYCEE CHOISEUL;2014;TOURS;97;95;86;ORLEANS-TOURS
LYCEE LA PROVIDENCE (GENERAL ET TECHNO.);2014;BLOIS;;;;ORLEANS-TOURS
LYCEE FRANCOIS VILLON;2014;BEAUGENCY;97;95;94;ORLEANS-TOURS
LYCEE SAINT LOUIS (GENERAL ET TECHNO.);2014;MONTARGIS;0;25;85;ORLEANS-TOURS
LYCEE CHARLEMAGNE;2014;PARIS 04;100;98;98;PARIS
LYCEE JEAN LURCAT (GENERAL ET TECHNO.);2014;PARIS 13;;76;;PARIS
LYCEE PIERRE-GILLES DE GENNES-ENCPB;2014;PARIS 13;;;84;PARIS
LYCEE PASSY-SAINT-HONORE;2014;PARIS 16;100;96;;PARIS
LYCEE CHARLES A COULOMB;2014;ANGOULEME;;;97;POITIERS
LYCEE ELIE VINET;2014;BARBEZIEUX ST HILAIRE;100;97;98;POITIERS
LYCEE PAUL GUERIN;2014;NIORT;87;93;88;POITIERS
LYCEE DU HAUT VAL DE SEVRE (GENERAL ET TECHNO.);2014;ST MAIXENT L ECOLE;100;71;94;POITIERS
LYCEE ST JACQUES DE COMPOSTELLE;2014;POITIERS;;;;POITIERS
LYCEE EDME BOUCHARDON;2014;CHAUMONT;80;92;78;REIMS
LYCEE ST PIERRE;2014;ST BRIEUC;100;88;93;RENNES
LYCEE JOSEPH SAVINA;2014;TREGUIER;89;;96;RENNES
LYCEE STE THERESE;2014;RENNES;;;;RENNES
LYCEE ST LOUIS - STE MARIE;2012;GIGNAC LA NERTHE;96;94;97;AIX-MARSEILLE
LYCEE FREDERIC JOLIOT-CURIE;2012;AUBAGNE;100;94;89;AIX-MARSEILLE
LYCEE FENELON;2017;CLERMONT FERRAND;100;100;100;CLERMONT-FERRAND
LYCEE FRANCOIS COUPERIN;2017;FONTAINEBLEAU;94;92;87;CRETEIL
LYCEE EMILIE DU CHATELET (GENERAL ET TECHNO.);2017;SERRIS;100;91;95;CRETEIL
LYCEE ASSOMPTION (GENERAL ET TECHNO.);2017;BONDY;;;;CRETEIL
LYCEE BLANCHE DE CASTILLE;2017;VILLEMOMBLE;100;100;98;CRETEIL
LYCEE GUILLAUME APOLLINAIRE;2017;THIAIS;92;92;79;CRETEIL
LYCEE JEAN MACE (GENERAL ET TECHNO.);2017;VITRY SUR SEINE;100;88;92;CRETEIL
LYCEE DESIRE NISARD (GENERAL ET TECHNO.);2017;CHATILLON SUR SEINE;92;73;88;DIJON
LYCEE JEAN-MARC BOIVIN;2017;CHEVIGNY ST SAUVEUR;90;89;91;DIJON
LYCEE MONTCHAPET;2017;DIJON;94;94;95;DIJON
LYCEE SAINT LAZARE (GENERAL ET TECHNO.);2017;AUTUN;;;;DIJON
LYCEE JEANNE D'ARC (GENERAL ET TECHNO.);2017;AVALLON;89;70;75;DIJON
LYCEE CHATEAUNEUF;2017;CHATEAUNEUF DE GALAURE;100;100;100;GRENOBLE
LYCEE GABRIEL FAURE;2017;ANNECY;97;94;96;GRENOBLE
LYCEE LA PRESENTATION DE MARIE;2017;ST JULIEN EN GENEVOIS;100;97;100;GRENOBLE
LYCEE ANDRE  ARGOUGES (GENERAL ET TECHNO.);2017;GRENOBLE;90;81;87;GRENOBLE
LYCEE LOUISE MICHEL (GENERAL ET TECHNO.);2017;GRENOBLE;;;;GRENOBLE
LYCEE SAINT AMBROISE;2017;CHAMBERY;86;94;94;GRENOBLE
LYCEE DU GRANIER;2017;LA RAVOIRE;100;98;98;GRENOBLE
LYCEE RENE PERRIN (GENERAL ET TECHNO.);2017;UGINE;;;97;GRENOBLE
LYCEE MARIE CURIE (GENERAL ET TECHNO.);2017;ST BENOIT;100;95;97;LA REUNION
LYCEE CATHOLIQUE LEVAVASSEUR;2017;ST DENIS;100;98;100;LA REUNION
LYCEE JESSE DE FOREST (GENERAL ET TECHNO.);2017;AVESNES SUR HELPE;73;78;80;LILLE
LYCEE SAINTE MARIE;2017;BEAUCAMPS LIGNY;100;100;100;LILLE
LYCEE JOSEPH MARIE JACQUARD (GENERAL ET TECHNO.);2017;CAUDRY;;80;89;LILLE
LYCEE GAMBETTA CARNOT;2017;ARRAS;86;92;91;LILLE
LYCEE PIERRE DE COUBERTIN;2017;CALAIS;88;90;97;LILLE
LYCEE BLAISE PASCAL;2017;LONGUENESSE;;;97;LILLE
LYCEE SAINT DENIS (GENERAL ET TECHNO.);2017;ST OMER;;;;LILLE
LYCEE VOLTAIRE;2017;WINGLES;96;83;91;LILLE
LYCEE INST JEANNE D ARC;2017;ARGENTAT;75;;100;LIMOGES
LYCEE D ARSONVAL;2017;BRIVE LA GAILLARDE;89;91;94;LIMOGES
LYCEE CLAUDE LEBOIS;2017;ST CHAMOND;93;81;94;LYON
LYCEE ALBERT CAMUS;2017;RILLIEUX LA PAPE;68;66;89;LYON
LYCEE FRANTZ FANON;2017;LA TRINITE;87;100;89;MARTINIQUE
LYCEE VICTOR ANICET (EX SAINT-JAMES) (GENERAL ET TECHNO.);2017;ST PIERRE;;;;MARTINIQUE
LYCEE LA MERCI LITTORAL (GENERAL ET TECHNO.);2017;LA GRANDE MOTTE;;97;98;MONTPELLIER
LYCEE DE LA COMMUNICATION;2017;METZ;88;82;87;NANCY-METZ
LYCEE JEANNE D'ARC;2017;REMIREMONT;77;100;96;NANCY-METZ
LYCEE AIME CESAIRE (GENERAL ET TECHNO.);2017;CLISSON;86;81;95;NANTES
LYCEE GALILEE;2017;GUERANDE;91;87;97;NANTES
LYCEE JOACHIM DU BELLAY;2017;ANGERS;89;93;87;NANTES
LYCEE D'AVESNIERES;2017;LAVAL;90;98;94;NANTES
LYCEE ND DE LA TOURTELIERE;2017;POUZAUGES;100;82;95;NANTES
LYCEE SAINTE MARIE;2017;CANNES;96;97;100;NICE
LYCEE SASSERNO;2017;NICE;100;100;100;NICE
LYCEE SAINTE MARGUERITE;2017;CHAMBRAY LES TOURS;;80;88;ORLEANS-TOURS
LYCEE GRAND ST GREGOIRE;2017;TOURS;100;96;95;ORLEANS-TOURS
LYCEE CAMILLE CLAUDEL;2017;BLOIS;97;92;97;ORLEANS-TOURS
LYCEE VOLTAIRE;2017;PARIS 11;84;73;80;PARIS
